Country Name,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),Battle-related deaths (number of people),CPIA building human resources rating (1=low to 6=high),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),Completeness of total death reporting (% of reported total deaths to estimated total deaths),"Contraceptive prevalence, any methods (% of women ages 15-49)","Contraceptive prevalence, modern methods (% of women ages 15-49)",Demand for family planning satisfied by modern methods (% of married women with demand for family planning),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",GDP per capita (constant 2010 US$),GDP per capita (constant LCU),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita growth (annual %),"GDP per capita, PPP (constant 2011 international $)","GDP per capita, PPP (current international $)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)",Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Lifetime risk of maternal death (%),Lifetime risk of maternal death (1 in: rate varies by country),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Maternal mortality ratio (national estimate, per 100,000 live births)",Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),"Mortality caused by road traffic injury (per 100,000 people)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)",Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),Number of deaths ages 5-14 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Number of under-five deaths,"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $1.90 a day (2011 PPP) (%),Poverty gap at $3.20 a day (2011 PPP) (%),Poverty gap at $5.50 a day (2011 PPP) (%),Poverty gap at national poverty lines (%),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Pregnant women receiving prenatal care (%),Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of anemia among pregnant women (%),Prevalence of anemia among women of reproductive age (% of women ages 15-49),Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),Rural poverty gap at national poverty lines (%),Rural poverty headcount ratio at national poverty lines (% of rural population),"Suicide mortality rate (per 100,000 population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, male (per 100,000 male population)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Unmet need for contraception (% of married women ages 15-49),Urban poverty gap at national poverty lines (%),Urban poverty headcount ratio at national poverty lines (% of urban population),"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",Women who believe a husband is justified in beating his wife (any of five reasons) (%),Women who believe a husband is justified in beating his wife when she argues with him (%),Women who believe a husband is justified in beating his wife when she burns the food (%),Women who believe a husband is justified in beating his wife when she goes out without telling him (%),Women who believe a husband is justified in beating his wife when she neglects the children (%),Women who believe a husband is justified in beating his wife when she refuses sex with him (%),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Women's share of population ages 15+ living with HIV (%)
Australia,13.6616,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,55183.73782525219,70389.668791919,68205.9263112879,56748.420260660496,0.873785641394619,44053.7311774575,46270.197398706514,18.8469295501709,17.1929092407227,21.5369606018066,,,,,0.0115212046791266,8700.0,,,,,,,,6.0,,48.6637631035507,,42.538867143467606,,,9.3,7.3,11.3,,,,0.2,0.2,0.2,,,,3.2,2.9,3.5,2.3,3.8,3.5,4.1,1.0,264.0,992.0,19.0,713.0,,,1179.0,11946177.0,50.160309780699215,11869818.0,49.839690219300785,23815995.0,,,,,,,,,,8.2,19.8,8.6,,,26.7,,,,13.8,7.2,20.4,,,,,,,,,,,,,,,10.3
Austria,7.522,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,47850.1676260394,36129.0275179085,39832.2919726812,44176.6717431334,0.015506133168472,44253.7542473183,49877.7133112879,23.188659667968803,27.2744007110596,35.9603996276855,,,,,0.0054918176351993,18200.0,,,,,,,,4.0,,13.7507511379708,,13.5129533932302,,,11.5,8.5,14.6,,,,0.2,0.2,0.3,,44.687,84.68799999999997,3.0,2.8,3.3,2.3,3.7,3.3,4.1,1.0,71.0,252.0,3.0,187.0,,,305.0,4411653.0,51.0448556419347,4231046.0,48.9551443580653,8642699.0,0.5,0.6,0.7,,0.7,0.7,0.9,,,16.2,24.2,16.4,,,30.6,,,,16.0,7.5,24.9,,,,,,,,,,,,,,,22.3
Azerbaijan,51.7,75.0,63.0,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,6063.73011692466,3069.17954293459,5635.62838125422,5500.32049702735,-0.145834453695798,16828.9901596414,17973.090667226297,,,17.880069732665998,,,,,0.0624985171781498,1600.0,99.7171401977539,99.8626327514648,99.7880630493164,0.999559998512268,99.9201126098633,99.9636688232422,99.94277954101558,25.0,,16.3524961147696,11.391265572757002,10.7226690912691,35.4375424370243,,22.5,16.4,29.1,,,,0.6,0.3,0.8,,85.616,174.18,23.4,20.7,26.0,13.6,26.4,23.5,29.2,0.0,391.0,4122.0,48.0,2395.0,,,4636.0,4847488.0,50.2364649252706,4801853.0,49.763535074729496,9649341.0,,,,,,,,,,37.5,39.2,37.6,,,16.9,,,,2.7,1.1,4.3,,,,,,,,,,,,,,,32.5
"Bahamas, The",29.1548,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,28117.0558990781,28786.5507233983,31512.856554945694,31512.856554945694,0.0801603484320594,29366.0597007094,31362.4791822494,,,,,,,,0.1519944265784039,660.0,,,,,,,,80.0,,25.1407384091709,,10.2476164283311,,,15.6,12.8,18.8,,,,0.1,0.1,0.2,,118.763,198.415,6.4,6.0,6.8,4.4,8.0,7.5,8.6,1.0,14.0,36.0,5.0,25.0,,,45.0,191040.0,51.0521200088926,183166.0,48.9478799911074,374206.0,,,,,,,,,,22.5,27.2,22.7,,,13.2,,,,1.8,0.5,3.0,,,,,,,,,,,,,,,45.9
Bahrain,13.618,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,22436.2729506264,8436.047354997008,8531.04309433021,22688.9443998144,0.1794682235146039,43926.6021157475,46912.9041636047,11.163649559021,17.5083694458008,,,,,,0.0336879110838102,3000.0,,,,,,,,15.0,,19.6338555917207,,23.9589298608797,,,11.7,12.2,11.4,,,,0.2,0.1,0.3,,58.897,74.471,6.5,6.3,6.7,3.2,7.6,7.3,7.9,0.0,34.0,139.0,3.0,69.0,,,161.0,525096.0,38.27648342612721,846755.0,61.723516573872786,1371851.0,,,,,,,,,,41.6,42.6,41.7,,,7.5,,,,5.9,2.0,8.3,,,,,,,,,,,,,,,35.4
Bangladesh,85.3076,15.0,,4.0,3.0,4.0,3.83333,3.0,3.5,2.5,3.5,3.5,4.0,3.5,3.0,3.0,2.9,3.0,3.0,3.5,3.0,3.5,2.5,27.0,,,,,,,1002.38885345832,52789.0732529681,97007.4507599298,1248.45339778371,5.36878342333158,3231.69523717156,3451.3985067161707,,,,,,,,0.421170638324937,240.0,62.2529907226563,68.05535888671879,65.1373291015625,1.03883004188538,89.5350570678711,86.1879501342773,87.8887710571289,176.0,,7.92921644596275,2.2224886940509903,40.1094019351532,15.6049408185381,,21.7,20.7,22.7,,,,0.3,0.2,0.4,,109.465,150.041,29.8,27.5,32.0,20.7,36.4,33.8,38.8,0.0,17857.0,92525.0,5500.0,64518.0,,,113357.0,77408385.0,49.539376606908,78847891.0,50.460623393092,156256276.0,,,,,,,,,,39.4,45.8,39.7,,,20.0,,,,6.1,7.4,4.7,,,,,,,,,,,,,,,33.8
Barbados,41.1162,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,16174.9061322934,3911.34289439374,32132.9436009589,16066.4718004795,0.727688959828001,16396.2920104355,17510.9760071399,,,,,,,,0.0472529213506724,2100.0,,,,,,,,27.0,,29.9625602946027,,20.3514352906722,,,16.3,13.1,19.9,,,,0.2,0.2,0.2,,74.168,124.019,12.1,11.0,13.2,8.6,13.1,11.9,14.3,0.0,8.0,41.0,1.0,29.0,,,45.0,148616.0,52.086851883127785,136708.0,47.913148116872215,285324.0,,,,,,,,,,20.9,25.4,21.1,,,16.7,,,,0.7,0.5,1.0,,,,,,,,,,,,,,,31.0
Belarus,18.7992,95.0,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,6545.7805269077,8166.129166870401,9474.546704524191,5949.106306997479,-3.98264886374076,17219.1206477761,18389.7437503155,,,15.9520597457886,,,,,0.0072208061550996,13800.0,,,,,,,,4.0,,10.7608044110748,54.675282267837,12.1367233267493,63.6628103991057,,24.5,14.4,36.4,,,,2.7,1.1,4.4,,82.36,245.384,3.1,2.7,3.4,1.7,4.1,3.6,4.5,0.0,152.0,352.0,5.0,191.0,,,462.0,5074666.0,53.4759897796416,4414950.0,46.5240102203584,9489616.0,0.0,0.0,0.1,,0.0,0.0,0.9,5.1,,21.8,23.7,21.9,,,27.3,,,8.7,26.3,8.3,47.0,,,,3.7,,,,,,,,,,,40.7
Belgium,5.3384,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,45174.0108192611,34108.4088302173,36464.0369920835,40441.0520422361,1.15175897219804,41820.8268335992,45592.35617627201,22.0710391998291,,32.3177909851074,,,,,0.0125656689169982,8000.0,,,,,,,,7.0,,13.6668059593137,,17.6187890229809,,,11.6,8.8,14.4,,,,0.2,0.2,0.3,,53.933,89.305,3.2,2.8,3.6,2.2,4.0,3.5,4.4,1.0,112.0,414.0,9.0,283.0,,,511.0,5732314.0,50.8445436103392,5541882.0,49.1554563896608,11274196.0,0.0,0.1,0.1,,0.0,0.2,0.2,,,15.0,23.1,15.3,,,39.3,,,,20.1,13.4,27.0,,,,,,,,,,,,,,,
Belize,65.9792,59.0,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,4401.88867903368,7718.96002859256,9766.35802212599,4883.179011063,1.26348827778328,7976.8994804431295,8519.20027555645,14.939220428466802,25.714990615844695,32.6216011047363,,,,,0.079141228679211,1300.0,,,,,,,,28.0,,0.544082075054912,11.677092050813403,14.6432086966518,25.0925533146614,,22.4,18.8,25.7,,,,0.5,0.3,0.7,,128.639,220.346,13.4,12.0,14.8,9.6,15.6,14.1,17.1,0.0,23.0,109.0,2.0,78.0,,,126.0,181006.0,50.1496018503314,179927.0,49.8503981496686,360933.0,,,,,,,,,97.2,21.2,21.1,21.1,,,3.1,,,,4.8,1.7,7.9,,,,,,,,,,,,,,,46.5
